loc_rowid,pl_pnum,hip_name
1,1,HIP 60202
2,1,HIP 74793
3,1,HIP 116076
4,1,HIP 79248
5,1,HIP 96901
6,1,HIP 103527
7,1,
8,1,HIP 70791
9,2,HIP 50887
10,2,HIP 50887
11,1,
12,1,
13,1,
14,1,
15,1,
16,1,
17,1,
18,1,HIP 12184
19,1,HIP 42527
20,1,HIP 90344
21,3,HIP 53721
22,3,HIP 53721
23,3,HIP 53721
24,1,HIP 21547
25,1,HIP 113357
26,5,HIP 43587
27,5,HIP 43587
28,5,HIP 43587
29,5,HIP 43587
30,5,HIP 43587
31,1,HIP 31039
32,3,HIP 64924
33,3,HIP 64924
34,3,HIP 64924
35,2,HIP 31592
36,2,HIP 31592
37,1,HIP 65721
38,1,HIP 11791
39,1,HIP 73136
40,1,HIP 12247
41,1,HIP 114855
42,1,HIP 30034
43,1,
44,1,HIP 104780
45,1,
46,1,HIP 78407
47,2,
48,2,
49,1,
50,1,
51,1,
52,1,HIP 12684
53,1,
54,2,HIP 27803
55,2,HIP 27803
56,2,HIP 49067
57,2,HIP 49067
58,1,
59,1,HIP 90979
60,1,
61,1,HIP 2247
62,1,
63,1,
64,1,
65,1,
66,1,
67,1,
68,1,
69,1,
70,1,
71,1,
72,1,
73,1,
74,1,
75,1,
76,1,
77,2,
78,2,
79,1,
80,1,
81,1,
82,2,
83,2,
84,1,
85,1,
86,1,
87,1,
88,1,
89,1,
90,1,
91,1,
92,1,
93,1,
94,1,
95,2,
96,2,
97,1,
98,1,
99,1,
100,1,
101,1,
102,1,
103,4,HIP 27305
104,4,HIP 27305
105,4,HIP 27305
106,4,HIP 27305
107,1,HIP 8501
108,1,HIP 28941
109,1,
110,1,HIP 116748 A
111,1,
112,1,
113,2,
114,3,
115,2,
116,1,
117,2,
118,1,
119,1,
120,1,
121,1,
122,1,
123,1,
124,1,
125,1,
126,1,
127,1,
128,1,
129,2,
130,2,
131,2,
132,2,
133,2,
134,1,
135,1,
136,3,
137,3,
138,3,
139,1,
140,1,HIP 113368
141,1,
142,3,
143,3,
144,3,
145,2,
146,2,
147,2,HIP 57050
148,2,HIP 57050
149,1,
150,1,
151,1,
152,2,HIP 16069
153,2,HIP 1475
154,2,HIP 1475
155,1,HIP 19165
156,3,HIP 19394
157,3,HIP 19394
158,3,HIP 19394
159,1,HIP 22627
160,3,HIP 22762
161,3,HIP 22762
162,3,HIP 22762
163,2,HIP 29295
164,2,HIP 29295
165,1,HIP 3143
166,2,HIP 36208
167,2,HIP 36208
168,1,HIP 1292
169,1,HIP 5812
170,3,HIP 10037
171,3,HIP 10037
172,3,HIP 10037
173,2,
174,2,
175,1,HIP 43790
176,4,
177,4,
178,4,
179,4,
180,2,
181,2,
182,1,
183,1,
184,1,
185,3,HIP 47103
186,3,HIP 47103
187,3,HIP 47103
188,1,
189,1,
190,1,HIP 79126
191,2,HIP 84460
192,2,HIP 84460
193,1,HIP 54035
194,1,HIP 55042
195,1,
196,3,HIP 56528
197,3,HIP 56528
198,3,HIP 56528
199,1,HIP 57087
200,1,HIP 64792
201,1,HIP 68469
202,3,HIP 74995
203,3,HIP 74995
204,3,HIP 74995
205,1,HIP 80459
206,1,HIP 83043
207,5,
208,5,
209,5,
210,5,
211,5,
212,1,HIP 85523
213,4,HIP 85647
214,4,HIP 85647
215,4,HIP 85647
216,4,HIP 85647
217,2,HIP 86214
218,2,HIP 86214
219,1,HIP 86087
220,1,HIP 86162
221,2,HIP 106440
222,2,HIP 106440
223,1,HIP 109388
224,1,HIP 10138
225,4,HIP 113020
